1277	I have to go to sleep.	1063736	Aku harus pergi tidur.
1277	I have to go to sleep.	2167926	Saya harus tidur.
1282	Muiriel is 20 now.	2167927	Muiriel berumur 20 sekarang.
1287	This is never going to end.	3389252	Hal ini tidak akan pernah berakhir.
1295	You're in better shape than I am.	3389296	Anda berada dalam kondisi yang lebih baik daripada aku.
1296	You are in my way.	1061743	Kau berada di jalanku.
1311	You should sleep.	1063737	Kamu harus tidur.
1316	I once wanted to be an astrophysicist.	3253745	Aku pernah ingin menjadi seorang astronom fisika.
1384	I think my living with you has influenced your way of living.	1061745	Aku pikir hidupku bersamamu telah berpengaruh pada cara hidupmu.
1406	If you didn't know me that way then you simply didn't know me.	1061746	Bila kamu tidak tahu bahwa aku seperti itu maka kamu tidak mengenalku.
1420	Can it be phrased in another way?	1061748	Bisakan itu diungkapkan dengan cara lain?
1434	I love you.	366012	Aku cinta kamu.
1434	I love you.	367205	Saya cinta kamu.
1437	Congratulations!	952963	Selamat!
1438	I don't want to wait that long.	1032539	Saya tidak ingin menunggu selama itu.
1480	Nothing is beautiful but the truth.	1033820	Tiada kecantikan selain kebenaran.
1484	Nobody understands me.	778161	Tidak ada yang mengerti aku.
1518	"Thank you for helping me." "Don't mention it."	778146	"Terima kasih karena kamu tolong saya." "Terima kasih kembali."
1521	Please don't cry.	1021762	Janganlah menangis.
1523	It may be that the happiness awaiting us is not at all the sort of happiness we would want.	1792806	Mungkin kebahagiaan yang sedang menunggu kita bukanlah kebahagiaan yang kita inginkan.
1542	Ten years is a long time to wait.	1032540	Sepuluh tahun adalah waktu yang lama untuk menunggu.
1564	Thank you very much!	365991	Terima kasih banyak!
1569	Round trip? Only one-way.	1061750	Pulang pergi? Hanya sekali jalan.
1602	You'll forget about me someday.	3253740	Kau akan melupakanku suatu hari nanti.
1605	I can't live without a TV.	366322	Aku tidak dapat hidup tanpa sebuah TV.
1612	We can't sleep because of the noise.	1063738	Kami tak bisa tidur karena suara ribut itu.
1627	Paris is the most beautiful city in the world.	1033824	Paris adalah kota tercantik di dunia.
1645	I think I'm gonna go to sleep.	1063739	Aku pikir aku akan pergi tidur.
1646	My name is Jack.	365993	Nama saya Jack.
1658	Italy is a very beautiful country.	1033825	Italy adalah negara yang paling indah.
1673	"Pass me the salt, please." "Here you are."	3478551	"Tolong ambilkan garam." "Ini, silahkan"
1720	She's faking sleep. That's why she's not snoring.	1063741	Dia pura-pura. Itulah. Itulah mengapa dia tidak mendengkur.
1725	"If you're tired, why don't you go to sleep?" "Because if I go to sleep now I will wake up too early."	1063730	"Kalau kamu lelah, mengapa tidak pergi tidur?" , "Karena kalau aku pergi tidur sekarang, aku akan bangun terlalu pagi"
1749	Despite the importance of sleep, its purpose is a mystery.	1063742	Meskipun tidur itu penting, maksud/tujuannya sendiri masih merupakan misteri.
1753	I would like to give him a present for his birthday.	1032066	Saya ingin memberikan hadiah padanya di hari ulang tahunnya.
1775	Where there's a will, there's a way.	1032097	Dimana ada kemauan, disitu ada jalan.
